QZKago Requiem	茄子卡狗	茄子	qzk	qz	黑猫打白猫	gdp2	毒牛奶
FFT	傅立叶快速变换	傅立叶	快速傅里叶变换	狒狒头	付费通	埃夫爱妇踢
木彫り鯰と右肩ゾンビ	僵尸	木雕鲇鱼	木雕鲶鱼	右肩僵尸	右肩
Mare Maris	船歌	帆船	开船	小破船
ENERGY SYNERGY MATRIX	ESM	esm	傻吊猫	沙雕猫
World Vanquisher	WV	世界征服者	世征	威猛先生
Schwarzschild	四川火娃	四川白娃	四川火娃弱智齿轮队	火娃
だんだん早くなる	渐渐加速	渐渐变快	蛋蛋变快	逐渐加快
ヒバナ	火花	匕八十	匕八卜	七八十
Kattobi KEIKYU Rider	卡透批来打	丁丁电车	列车	京急	京急电车
人生リセットボタン	人生重置	人生reset button	remake	人生重启键	人生重置按钮
きたさいたま2000	埼玉2000	塞他妈	北埼玉	北埼玉2000	kita
セイクリッド　ルイン	太鼓达人	圣墟	圣灭	肾虚
Titania	泰坦尼亚	踢他娘	体坛	缇坦妮娅
ウミユリ海底譚	海底捞	海底谭	海脑瘫
Our Wrenally	OW	魔法阿嬷	魔法夏祭	守望先锋
ヒビカセ	让其响彻	匕匕力也	比力也
My First Phone	小灵通	电话	手机
Blows Up Everything	吹爆	吹	瞎几把吹
Excalibur ～Revived resolution～	生煎2	圣剑2	ex咖喱棒
Contrapasso -paradiso-	齿轮	天堂	ctps
CYBER Sparks	cs	魔理沙爆炸	魔光炮
Good Bye, Mr. Jack	再见杰哥	再见杰克	杰哥
幸せになれる隠しコマンドがあるらしい	性瘾	幸隐
Ragnarok	黄昏	诸神黄昏
チルノのパーフェクトさんすう教室　⑨周年バージョン	9周年教室	笨蛋教室	九周年	baka
GOODMEN	好男人	好人	良民
Oshama Scramble!	牛奶	哦杀妈	牛奶猫
最終鬼畜妹・一部声	鬼畜妹	一部声	蓝蓝路
コネクト	小圆op	联系	conect
砂の惑星 feat. HATSUNE MIKU	沙星	沙之行星	砂之惑星
Candy Tall Woman	糖果高女士	高血糖女人	糖高女	砍弟搞女人
ロキ	口丰	roki	口≠	ruaki
おちゃめ機能	天真烂漫机能	机能	五月病
弱虫モンブラン	弱虫	胆小鬼	换手练习歌
Maxi	马克西	马西	马戏
Garakuta Doll Play	GDP	鬼牌	小丑	果丹皮
Aiolos	艾欧洛斯	艾俄洛斯	A打头的风神
Magical Flavor	魔法味道	MF	milk+op
プナイプナイせんそう	噗奶噗奶	punai	噗奶
Little "Sister" Bitch	婊子	小婊子	碧池
結ンデ開イテ羅刹ト骸	连起来又分开，罗刹与骨骸	罗刹	结骸
MIRROR of MAGIC	MoM	镜魔	魔镜
MAXRAGE	绝赞交互	极怒	良怒2	满怒
アージェントシンメトリー	argent symmetry	sta	pink op
LOVE EAST	爱东	爱东方	转转
ないせんのうた	再见IM外星人	好他妈烦	这个地球是一秒都待不下去了
Streak	绿庙	米奇妙妙屋	拆房子
天狗の落とし文 feat. ｙｔｒ	天狗	犹太人	ytr
分からない	哇卡拉奶	我不知道	吾伐晓得
君の知らない物語	你不知道的故事	君知	君知物语
White Traveling Girl	白色旅行少女	白旅女	白色旅人
ロミオとシンデレラ	罗密欧	灰姑娘	罗密欧与辛德瑞拉
BATTLE NO.1	打架第一名	战地一	第一战	缝合怪
Prophesy One	预言一	p1
ECHO	回声	恶臭	一口
Caliburne ～Story of the Legendary sword～	生煎	圣剑	生煎2	圣剑2	咖喱棒
only my railgun	炮姐	超炮
The wheel to the right	印度人	电锯	一块钱2	三块钱
Ultranova	A4纸	摩托车	超新星
Alea jacta est!	黑人打架	击剑	白人打架	孤注一掷	打架
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？	坏人偶	坏人形
魔ジョ狩リ	魔女狩猎	魔狩
花と、雪と、ドラムンベース。	花一轮	花雪
Lividi	李伟迪	李维迪
PANDORA PARADOXXX	潘多拉	潘
SILENT BLUE	静蓝	SB	四块钱
TiamaT:F minor	提亚马特	音响龙	剃阿妈头发
FREEDOM DiVE (tpz Overcute Remix)	FD	自由落体	FDFD
Destr0yer	d0	削除光线	D0
7thSense	七感	七拍子	第七感
夜明けまであと３秒	夜明	夜明3秒	夜明三秒	失明前三秒
Doll Judgment	人形裁判	DJ
高気圧ねこロック	高气压猫猫头	高气压猫
トルコ行進曲 - オワタ＼(^o^)／	土耳其进行曲	土耳其
Crush On You	coy	COU
My Dearest Song	大提琴	生日歌	我爱歌
骸骨楽団とリリア	莉莉亚	骸骨乐团
In Chaos	阴超市	超市
アポカリプスに反逆の焔を焚べろ	反逆	反逆焰
六兆年と一夜物語	六兆年	希腊奶
太陽系デスコ	太阳系disco	太阳系
oboro	小火球	小火苗
曖昧mind	爱maimai	暧昧mind
神室雪月花	雪月花	如龙
End Time	恩德太	嗯了么
キミノヨゾラ哨戒班	烧鸡班	哨戒班
ナンセンス文学	无意义文学	拍手文学	文学
B.B.K.K.B.K.K.	bk	bbkkbkk	bbkk	Bass kick
シャルル	夏露露	三力儿儿
